feature_set,n_blocks,mask_mode,classifier,classifier_params,k_features,n_features,accuracy,macro_f1,balanced_accuracy
all+abcd_v2+melnv,3,raw,lgbm,"n=300,lv=15,lr=0.05",all,207,0.71,0.7308062874423823,0.7377248677248677
all+abcd_v2+boundary+melnv,4,raw,lgbm,"n=300,lv=7,lr=0.03",100,225,0.7083333333333334,0.7301472530155243,0.7375661375661376
all+abcd_v2+melnv,3,raw,lgbm,"n=300,lv=15,lr=0.05",100,207,0.715,0.7327022613581541,0.7375132275132276
all+contrast+abcd_v2+melnv,4,raw,lgbm,"n=200,lv=7,lr=0.05",100,241,0.7166666666666667,0.7365630816093093,0.7374603174603175
abcd_v2+boundary+melnv,3,raw,xgb,"n=300,d=3,lr=0.03",100,122,0.7066666666666667,0.7303295047264154,0.7374074074074074
all+abcd_v2+boundary,3,raw,xgb,"n=150,d=2,lr=0.05",all,148,0.7033333333333334,0.7212415208630573,0.7370899470899471
all+contrast+boundary,3,raw,xgb,"n=150,d=2,lr=0.05",all,155,0.7166666666666667,0.731307580196726,0.737037037037037
all+contrast+boundary,3,raw,xgb,"n=300,d=3,lr=0.03",all,155,0.7233333333333334,0.7380690041441675,0.736984126984127
all+contrast+abcd_v2+boundary+melnv,5,raw,lgbm,"n=200,lv=7,lr=0.05",all,259,0.7133333333333334,0.731852454864503,0.736878306878307
contrast+abcd_v2+melnv,3,raw,lgbm,"n=300,lv=15,lr=0.05",100,138,0.7166666666666667,0.7284638481180785,0.7367724867724869
all+contrast+melnv,3,raw,lgbm,"n=200,lv=7,lr=0.05",100,214,0.7133333333333334,0.7311479546773665,0.7366666666666667
all+melnv,2,raw,xgb,"n=150,d=2,lr=0.05",100,180,0.7066666666666667,0.7268503746474453,0.7362433862433863
all+abcd_v2,2,raw,xgb,"n=300,d=3,lr=0.03",100,130,0.7183333333333334,0.7358340164177863,0.7362433862433863
all+contrast,2,raw,xgb,"n=200,d=3,lr=0.05",100,137,0.7233333333333334,0.7373706934810561,0.7360317460317459
